neighborhood,x2010_density,x2010_diversity_index,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_density,x2020_diversity_index,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,x2010_vap,x2010_vap_hisp,x2010_vap_white_non_hisp,x2010_vap_black_non_hisp,x2010_vap_aian_non_hisp,x2010_vap_asian_non_hisp,x2010_vap_nhpi_non_hisp,x2010_vap_other_non_hisp,x2010_vap_two_plus_non_hisp,x2010_u18,x2010_u18_hisp,x2010_u18_white_non_hisp,x2010_u18_black_non_hisp,x2010_u18_aian_non_hisp,x2010_u18_asian_non_hisp,x2010_u18_nhpi_non_hisp,x2010_u18_other_non_hisp,x2010_u18_two_plus_non_hisp,x2010_hu,x2010_hu_occupied,x2010_hu_vacant,x2010_vacancy_rate,x2020_vap,x2020_vap_hisp,x2020_vap_white_non_hisp,x2020_vap_black_non_hisp,x2020_vap_aian_non_hisp,x2020_vap_asian_non_hisp,x2020_vap_nhpi_non_hisp,x2020_vap_other_non_hisp,x2020_vap_two_plus_non_hisp,x2020_u18,x2020_u18_hisp,x2020_u18_white_non_hisp,x2020_u18_black_non_hisp,x2020_u18_aian_non_hisp,x2020_u18_asian_non_hisp,x2020_u18_nhpi_non_hisp,x2020_u18_other_non_hisp,x2020_u18_two_plus_non_hisp,x2020_hu,x2020_hu_occupied,x2020_hu_vacant,x2020_vacancy_rate,change_density,change_diversity_index,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,change_vap,change_vap_hisp,change_vap_white_non_hisp,change_vap_black_non_hisp,change_vap_aian_non_hisp,change_vap_asian_non_hisp,change_vap_nhpi_non_hisp,change_vap_other_non_hisp,change_vap_two_plus_non_hisp,change_u18,change_u18_hisp,change_u18_white_non_hisp,change_u18_black_non_hisp,change_u18_aian_non_hisp,change_u18_asian_non_hisp,change_u18_nhpi_non_hisp,change_u18_other_non_hisp,change_u18_two_plus_non_hisp,change_hu,change_hu_occupied,change_hu_vacant,change_vacancy_rate,change_share_total_density,change_share_total_diversity_index,change_share_total_pop_hisp,change_share_total_pop_white_non_hisp,change_share_total_pop_black_non_hisp,change_share_total_pop_aian_non_hisp,change_share_total_pop_asian_non_hisp,change_share_total_pop_nhpi_non_hisp,change_share_total_pop_other_non_hisp,change_share_total_pop_two_plus_non_hisp,change_share_total_vap_hisp,change_share_total_vap_white_non_hisp,change_share_total_vap_black_non_hisp,change_share_total_vap_aian_non_hisp,change_share_total_vap_asian_non_hisp,change_share_total_vap_nhpi_non_hisp,change_share_total_vap_other_non_hisp,change_share_total_vap_two_plus_non_hisp,change_share_total_u18,change_share_total_u18_hisp,change_share_total_u18_white_non_hisp,change_share_total_u18_black_non_hisp,change_share_total_u18_aian_non_hisp,change_share_total_u18_asian_non_hisp,change_share_total_u18_nhpi_non_hisp,change_share_total_u18_other_non_hisp,change_share_total_u18_two_plus_non_hisp,change_share_total_hu,change_share_total_hu_occupied,change_share_total_hu_vacant,change_share_total_vacancy_rate,x2020_pop_hisp_perc,x2020_pop_white_non_hisp_perc,x2020_pop_black_non_hisp_perc,x2010_pop_hisp_perc,x2010_pop_white_non_hisp_perc,X2010_pop_black_non_hisp_perc,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed
Druid Heights,9263,10,1392,20,59,1278,3,10,1,3,19,8128,13,1222,17,64,1080,2,6,2,3,47,1057,14,58,954,3,10,1,3,15,335,5,1,323,0,0,1,0,4,945,562,383,24,963,15,61,843,2,4,2,2,32,259,2,3,236,0,2,0,1,16,732,542,189,15,-12.25,30,-12.21,-15,8.47,-15.49,-33.33,-40,100,0,147.37,-8.89,7.14,5.17,-11.64,-33.33,-60,100,-33.33,113.33,-22.69,-60,200,-26.93,NA,Inf,-100,Inf,300,-22.54,-3.56,-50.65,-37.5,-81.54,0.22,-0.22,0.36,-14.22,-0.07,-0.29,0.07,0,2.01,0.09,0.28,-10.5,-0.09,-0.57,0.09,-0.09,1.61,-22.69,-0.9,0.6,-25.97,0,0.6,-0.3,0.3,3.58,-15.3,-1.44,-13.94,-0.65,1.39,5.24,88.38,1.44,4.24,91.81,Majority Black,Majority Black,No
Druid Hill Park,2040,11,1870,27,111,1683,2,6,0,3,40,1707,18,1530,35,133,1298,5,7,0,5,48,1398,15,98,1255,1,5,0,1,23,472,11,12,428,1,0,0,2,17,1050,722,328,29,1230,27,123,1024,5,7,0,2,42,299,8,9,274,0,0,0,3,6,949,664,286,28,-16.32,63.64,-18.18,29.63,19.82,-22.88,150,16.67,NA,66.67,20,-12.02,80,25.51,-18.41,400,40,NA,100,82.61,-36.65,-27.27,-25,-35.98,-100,NA,NA,50,-64.71,-9.62,-8.03,-12.8,-3.45,-17.81,0.37,0.43,1.18,-20.59,0.16,0.05,0,0.11,0.43,0.86,1.79,-16.52,0.29,0.14,0,0.07,1.36,-36.65,-0.64,-0.64,-32.63,-0.21,0,0,0.21,-2.33,-5.4,-3.1,-2.25,-0.05,2.29,8.69,84.84,1.44,5.94,90,Majority Black,Majority Black,No
Dunbar-Broadway,5780,28,1507,47,172,1206,4,54,1,3,19,6252,35,1337,129,197,845,3,93,0,14,57,1271,42,162,992,4,51,1,3,16,236,5,10,214,0,3,0,0,3,607,534,73,9,1065,91,182,653,2,83,0,9,44,272,38,14,192,1,10,0,5,13,756,680,76,7,8.17,25,-11.28,174.47,14.53,-29.93,-25,72.22,-100,366.67,200,-16.21,116.67,12.35,-34.17,-50,62.75,-100,200,175,15.25,660,40,-10.28,Inf,233.33,NA,Inf,333.33,24.55,27.34,4.11,-22.22,31.32,0.46,5.44,1.66,-23.95,-0.07,2.59,-0.07,0.73,2.52,3.86,1.57,-26.67,-0.16,2.52,-0.08,0.47,2.2,15.25,13.98,1.69,-9.32,0.42,2.97,0,2.12,4.24,9.89,9.69,0.2,-0.13,9.65,14.73,63.2,3.12,11.41,80.03,Majority Black,Majority Black,No
Dundalk Marine Terminal,81,4,310,65,176,51,4,6,0,1,7,85,4,329,144,114,52,2,4,0,2,11,250,45,155,37,3,5,0,0,4,61,20,20,13,1,2,0,0,3,134,125,10,0,249,94,100,41,2,3,0,1,8,80,51,14,11,0,1,0,1,3,132,121,11,1,4.94,0,6.13,121.54,-35.23,1.96,-50,-33.33,NA,100,57.14,-0.4,108.89,-35.48,10.81,-33.33,-40,NA,Inf,100,31.15,155,-30,-15.38,-100,-50,NA,Inf,0,-1.49,-3.2,10,Inf,1.29,0,25.48,-20,0.32,-0.65,-0.65,0,0.32,1.29,19.6,-22,1.6,-0.4,-0.8,0,0.4,1.6,31.15,50.82,-9.84,-3.28,-1.64,-1.64,0,1.64,0,-0.65,-1.29,0.32,0.32,43.77,34.65,15.81,20.97,56.77,16.45,Majority Minority,Majority White,Yes
East Arlington,1949,1,1279,15,13,1231,2,3,0,3,11,1723,3,1130,29,17,1035,5,6,1,4,34,1011,12,11,973,2,3,0,2,9,267,4,2,258,0,0,0,1,2,578,534,45,2,920,20,17,850,4,4,1,2,22,210,9,0,185,1,2,0,2,12,545,493,52,2,-11.6,200,-11.65,93.33,30.77,-15.92,150,100,Inf,33.33,209.09,-9,66.67,54.55,-12.64,100,33.33,Inf,0,144.44,-21.35,125,-100,-28.29,Inf,Inf,NA,100,500,-5.71,-7.68,15.56,0,-17.67,0.16,1.09,0.31,-15.32,0.23,0.23,0.08,0.08,1.8,0.79,0.59,-12.17,0.2,0.1,0.1,0,1.29,-21.35,1.87,-0.75,-27.34,0.37,0.75,0,0.37,3.75,-2.58,-3.21,0.55,0,2.57,1.5,91.59,1.17,1.02,96.25,Majority Black,Majority Black,No
East Baltimore Midway,10102,8,2890,13,34,2781,12,19,0,0,31,7784,19,2223,63,72,2005,6,6,0,12,59,2160,10,27,2075,10,15,0,0,22,730,2,7,706,2,4,0,0,9,1467,967,501,34,1697,40,66,1540,6,6,0,3,35,526,22,6,464,0,0,0,10,24,1154,843,311,27,-22.95,137.5,-23.08,384.62,111.76,-27.9,-50,-68.42,NA,Inf,90.32,-21.44,300,144.44,-25.78,-40,-60,NA,Inf,59.09,-27.95,1000,-14.29,-34.28,-100,-100,NA,Inf,166.67,-21.34,-12.82,-37.92,-20.59,-80.21,0.38,1.73,1.31,-26.85,-0.21,-0.45,0,0.42,0.97,1.39,1.81,-24.77,-0.19,-0.42,0,0.14,0.6,-27.95,2.74,-0.14,-33.15,-0.27,-0.55,0,1.37,2.05,-10.83,-4.29,-6.57,-0.24,2.83,3.24,90.19,0.45,1.18,96.23,Majority Black,Majority Black,No
Easterwood,7908,3,1263,10,9,1227,1,5,0,1,10,5381,4,860,7,9,823,1,1,0,3,16,927,7,9,899,0,4,0,1,7,336,3,0,328,0,1,0,0,3,647,443,204,15,668,5,6,640,1,1,0,2,12,192,2,2,183,0,0,0,1,3,499,334,165,16,-31.95,33.33,-31.91,-30,0,-32.93,0,-80,NA,200,60,-27.94,-28.57,-33.33,-28.81,Inf,-75,NA,100,71.43,-42.86,-33.33,Inf,-44.21,NA,-100,NA,Inf,0,-22.87,-24.6,-19.12,6.67,-200.08,0.08,-0.24,0,-31.99,0,-0.32,0,0.16,0.48,-0.22,-0.32,-27.94,0.11,-0.32,0,0.11,0.54,-42.86,-0.3,0.6,-43.15,0,-0.3,0,0.3,0,-11.72,-8.63,-3.09,0.08,0.81,1.05,95.7,0.79,0.71,97.15,Majority Black,Majority Black,No
Eastwood,88,1,110,28,68,8,0,4,0,0,2,108,1,134,69,44,12,0,4,0,1,3,88,19,58,6,0,3,0,0,1,22,9,9,2,0,1,0,0,1,49,43,6,0,97,43,40,9,0,3,0,0,2,36,26,5,3,0,1,0,1,1,52,47,5,0,22.73,0,21.82,146.43,-35.29,50,NA,0,NA,Inf,50,10.23,126.32,-31.03,50,NA,0,NA,NA,100,63.64,188.89,-44.44,50,NA,0,NA,Inf,0,6.12,9.3,-16.67,NA,18.18,0,37.27,-21.82,3.64,0,0,0,0.91,0.91,27.27,-20.45,3.41,0,0,0,0,1.14,63.64,77.27,-18.18,4.55,0,0,0,4.55,0,2.73,3.64,-0.91,0,51.49,32.84,8.96,25.45,61.82,7.27,Majority Hispanic,Majority White,Yes
Edgewood,1364,1,646,5,4,627,3,0,1,0,5,1172,2,555,10,6,526,1,1,0,1,11,485,2,4,472,3,0,1,0,4,161,3,1,155,0,0,0,0,1,259,218,42,3,417,6,5,398,0,1,0,0,6,138,4,1,127,1,0,0,1,4,248,197,50,4,-14.08,100,-14.09,100,50,-16.11,-66.67,Inf,-100,Inf,120,-14.02,200,25,-15.68,-100,Inf,-100,NA,50,-14.29,33.33,0,-18.06,Inf,NA,NA,Inf,300,-4.25,-9.63,19.05,33.33,-29.72,0.15,0.77,0.31,-15.63,-0.31,0.15,-0.15,0.15,0.93,0.82,0.21,-15.26,-0.62,0.21,-0.21,0,0.41,-14.29,0.62,0,-17.39,0.62,0,0,0.62,1.86,-1.7,-3.25,1.24,0.15,1.8,1.08,94.77,0.77,0.62,97.06,Majority Black,Majority Black,No
Edmondson Village,22130,7,3476,27,26,3358,4,2,0,0,57,20342,15,3186,64,49,2958,8,2,2,6,97,2619,19,26,2528,3,2,0,0,40,856,8,0,830,1,0,0,0,17,1434,1291,143,11,2501,42,48,2325,5,0,0,5,76,685,22,0,633,3,2,2,1,21,1445,1278,167,12,-8.08,114.29,-8.34,137.04,88.46,-11.91,100,0,Inf,Inf,70.18,-4.51,121.05,84.62,-8.03,66.67,-100,NA,Inf,90,-19.98,175,NA,-23.73,200,Inf,Inf,Inf,23.53,0.77,-1.01,16.78,9.09,-51.44,0.23,1.06,0.66,-11.51,0.12,0,0.06,0.17,1.15,0.88,0.84,-7.75,0.08,-0.08,0,0.19,1.37,-19.98,1.64,0,-23.01,0.23,0.23,0.23,0.12,0.47,0.32,-0.37,0.69,0.03,2.01,1.54,92.84,0.78,0.75,96.61,Majority Black,Majority Black,No
Ednor Gardens-Lakeside,17329,45,5359,94,794,4273,17,78,2,8,92,15565,56,4807,139,885,3495,8,69,1,16,194,4219,64,719,3285,16,66,1,7,61,1140,30,74,988,1,13,1,2,31,2477,2225,252,13,4013,106,792,2910,6,65,1,11,122,794,33,93,585,2,4,0,5,72,2445,2180,265,14,-10.18,24.44,-10.3,47.87,11.46,-18.21,-52.94,-11.54,-50,100,110.87,-4.88,65.62,10.15,-11.42,-62.5,-1.52,0,57.14,100,-30.35,10,25.68,-40.79,100,-69.23,-100,150,132.26,-1.29,-2.02,5.16,7.69,-32.92,0.21,0.84,1.7,-14.52,-0.17,-0.17,-0.02,0.15,1.9,1,1.73,-8.89,-0.24,-0.02,0,0.09,1.45,-30.35,0.26,1.67,-35.35,0.09,-0.79,-0.09,0.26,3.6,-0.6,-0.84,0.24,0.02,2.89,18.41,72.71,1.75,14.82,79.74,Majority Black,Majority Black,No
Ellwood Park/Monument,30547,58,3287,717,657,1780,34,40,1,5,53,26930,65,2908,983,611,1136,15,50,0,12,101,2394,547,591,1165,22,38,1,2,27,893,170,66,615,11,2,0,3,26,1322,1036,286,23,2188,624,549,882,13,45,0,9,65,720,359,61,254,3,5,0,3,36,1274,1039,235,20,-11.84,12.07,-11.53,37.1,-7,-36.18,-55.88,25,-100,140,90.57,-8.6,14.08,-7.11,-24.29,-40.91,18.42,-100,350,140.74,-19.37,111.18,-7.58,-58.7,-72.73,150,NA,0,38.46,-3.63,0.29,-17.83,-13.04,-110.04,0.21,8.09,-1.4,-19.59,-0.58,0.3,-0.03,0.21,1.46,3.22,-1.75,-11.82,-0.38,0.29,-0.04,0.29,1.59,-19.37,21.16,-0.56,-40.43,-0.9,0.34,0,0,1.12,-1.46,0.09,-1.55,-0.09,33.8,21.01,39.06,21.81,19.99,54.15,Majority Minority,Majority Black,Yes
Evergreen,466,3,309,10,237,23,0,33,0,1,7,480,4,318,14,225,23,0,39,0,2,14,245,7,187,19,0,29,0,0,3,64,2,50,4,0,4,0,0,4,144,133,11,1,258,9,184,20,0,35,0,2,8,60,4,41,3,0,4,0,1,6,152,142,10,1,3,33.33,2.91,40,-5.06,0,NA,18.18,NA,100,100,5.31,28.57,-1.6,5.26,NA,20.69,NA,Inf,166.67,-6.25,100,-18,-25,NA,0,NA,Inf,50,5.56,6.77,-9.09,0,4.53,0.32,1.29,-3.88,0,0,1.94,0,0.32,2.27,0.82,-1.22,0.41,0,2.45,0,0.82,2.04,-6.25,3.12,-14.06,-1.56,0,0,0,1.56,3.12,2.59,2.91,-0.32,0,4.4,70.75,7.23,3.24,76.7,7.44,Majority White,Majority White,No
Evergreen Lawn,1391,1,563,4,3,545,1,1,0,1,8,1195,1,484,11,4,457,1,1,0,1,9,435,3,3,421,1,1,0,0,6,128,1,0,124,0,0,0,0,1,250,217,34,2,377,6,4,358,1,0,0,1,8,106,5,0,99,0,1,0,0,1,240,189,50,3,-14.09,0,-14.03,175,33.33,-16.15,0,0,NA,0,12.5,-13.33,100,33.33,-14.96,0,-100,NA,Inf,33.33,-17.19,400,NA,-20.16,NA,Inf,NA,NA,0,-4,-12.9,47.06,50,-34.81,0,1.24,0.18,-15.63,0,0,0,0,0.18,0.69,0.23,-14.48,0,-0.23,0,0.23,0.46,-17.19,3.12,0,-19.53,0,0.78,0,0,0,-1.78,-4.97,2.84,0.18,2.27,0.83,94.42,0.71,0.53,96.8,Majority Black,Majority Black,No
Evesham Park,2647,16,737,55,333,301,1,27,1,4,16,2506,17,698,48,296,295,1,26,1,6,26,604,41,291,236,1,22,1,3,9,133,14,41,65,0,4,0,1,7,408,366,42,3,592,39,257,250,1,24,1,4,16,106,8,38,45,0,2,0,2,10,414,369,45,3,-5.33,6.25,-5.29,-12.73,-11.11,-1.99,0,-3.7,0,50,62.5,-1.99,-4.88,-11.68,5.93,0,9.09,0,33.33,77.78,-20.3,-42.86,-7.32,-30.77,NA,-50,NA,100,42.86,1.47,0.82,7.14,0,-19.13,0.14,-0.95,-5.02,-0.81,0,-0.14,0,0.27,1.36,-0.33,-5.63,2.32,0,0.33,0,0.17,1.16,-20.3,-4.51,-2.26,-15.04,0,-1.5,0,0.75,2.26,0.81,0.41,0.41,0,6.88,42.41,42.26,7.46,45.18,40.84,Majority Minority,Majority Minority,No
Fairfield Area,1122,23,719,85,393,190,4,18,0,1,29,1056,33,678,181,242,191,3,19,0,4,37,536,59,321,127,3,14,0,0,12,183,27,72,62,1,3,0,1,17,319,265,53,11,494,112,201,138,2,15,0,2,23,183,69,41,52,1,4,0,2,14,295,237,58,12,-5.88,43.48,-5.7,112.94,-38.42,0.53,-25,5.56,NA,300,27.59,-7.84,89.83,-37.38,8.66,-33.33,7.14,NA,Inf,91.67,0,155.56,-43.06,-16.13,0,33.33,NA,100,-17.65,-7.52,-10.57,9.43,9.09,-9.18,1.39,13.35,-21,0.14,-0.14,0.14,0,0.42,1.11,9.89,-22.39,2.05,-0.19,0.19,0,0.37,2.05,0,22.95,-16.94,-5.46,0,0.55,0,0.55,-1.64,-3.34,-3.89,0.7,0.14,26.7,35.69,28.17,11.82,54.66,26.43,Majority Minority,Majority White,Yes
Fairmont,2996,3,1268,14,17,1212,3,2,0,1,20,2615,5,1114,15,31,1032,2,4,0,4,27,964,8,13,927,2,1,0,1,11,304,6,4,285,1,0,0,0,9,584,461,123,8,870,10,28,805,2,4,0,2,18,244,5,2,226,0,1,0,2,9,564,453,111,7,-12.72,66.67,-12.15,7.14,82.35,-14.85,-33.33,100,NA,300,35,-9.75,25,115.38,-13.16,0,300,NA,100,63.64,-19.74,-16.67,-50,-20.7,-100,Inf,NA,Inf,0,-3.42,-1.74,-9.76,-12.5,-30.05,0.16,0.08,1.1,-14.2,-0.08,0.16,0,0.24,0.55,0.21,1.56,-12.66,0,0.31,0,0.1,0.73,-19.74,-0.33,-0.66,-19.41,-0.33,0.33,0,0.66,0,-1.58,-0.63,-0.95,-0.08,1.35,2.78,92.64,1.1,1.34,95.58,Majority Black,Majority Black,No
Fallstaff,12900,59,4034,566,1335,1898,13,135,19,5,62,12794,62,3997,869,1113,1795,8,48,0,68,97,3074,419,974,1517,10,97,11,5,40,960,147,361,381,3,38,8,0,22,1877,1719,159,8,2990,555,764,1507,8,37,0,41,78,1007,314,349,288,0,11,0,27,19,1777,1624,153,8,-0.82,5.08,-0.92,53.53,-16.63,-5.43,-38.46,-64.44,-100,1260,56.45,-2.73,32.46,-21.56,-0.66,-20,-61.86,-100,720,95,4.9,113.61,-3.32,-24.41,-100,-71.05,-100,Inf,-13.64,-5.33,-5.53,-3.77,0,-2.63,0.07,7.51,-5.5,-2.55,-0.12,-2.16,-0.47,1.56,0.87,4.42,-6.83,-0.33,-0.07,-1.95,-0.36,1.17,1.24,4.9,17.4,-1.25,-9.69,-0.31,-2.81,-0.83,2.81,-0.31,-2.48,-2.35,-0.15,0,21.74,27.85,44.91,14.03,33.09,47.05,Majority Minority,Majority Minority,No
Federal Hill,22932,28,2368,76,1963,211,3,75,1,4,35,24380,37,2611,131,1997,230,2,133,0,10,108,2158,62,1834,160,2,70,1,3,26,210,13,129,51,1,6,0,1,10,1375,1215,161,11,2372,107,1857,191,1,123,0,9,84,239,24,140,39,1,10,0,1,24,1552,1362,189,12,6.31,32.14,10.26,72.37,1.73,9,-33.33,77.33,-100,150,208.57,9.92,72.58,1.25,19.38,-50,75.71,-100,200,223.08,13.81,84.62,8.53,-23.53,0,66.67,NA,0,140,12.87,12.1,17.39,9.09,61.15,0.38,2.32,1.44,0.8,-0.04,2.45,-0.04,0.25,3.08,2.09,1.07,1.44,-0.05,2.46,-0.05,0.28,2.69,13.81,5.24,5.24,-5.71,0,1.9,0,0,6.67,7.47,6.21,1.18,0.04,5.02,76.48,8.81,3.21,82.9,8.91,Majority White,Majority White,No
Fells Point,17045,42,2985,339,1885,537,14,146,2,3,59,19728,51,3710,409,2376,421,9,307,2,21,166,2658,266,1807,384,13,137,2,3,47,327,73,79,153,1,9,0,0,12,1983,1627,356,18,3363,318,2255,330,7,302,2,20,129,347,90,121,92,1,5,0,0,37,2614,2177,437,18,15.74,21.43,24.29,20.65,26.05,-21.6,-35.71,110.27,0,600,181.36,26.52,19.55,24.79,-14.06,-46.15,120.44,0,566.67,174.47,6.12,23.29,53.16,-39.87,0,-44.44,NA,NA,208.33,31.82,33.8,22.75,0,89.88,0.3,2.35,16.45,-3.89,-0.17,5.39,0,0.6,3.58,1.96,16.85,-2.03,-0.23,6.21,0,0.64,3.09,6.12,5.2,12.84,-18.65,0,-1.22,0,0,7.65,21.14,18.43,2.71,0,11.02,64.04,11.35,11.36,63.15,17.99,Majority White,Majority White,No
Forest Park,3551,3,1504,24,21,1432,3,1,0,2,20,3541,7,1498,44,50,1343,4,4,0,18,35,1170,18,20,1113,2,1,0,1,14,333,6,1,319,1,0,0,1,6,862,596,266,11,1195,30,47,1071,4,4,0,13,27,302,14,3,272,0,0,0,5,8,743,594,149,7,-0.28,133.33,-0.4,83.33,138.1,-6.22,33.33,300,NA,800,75,2.14,66.67,135,-3.77,100,300,NA,1200,92.86,-9.31,133.33,200,-14.73,-100,NA,NA,400,33.33,-13.81,-0.34,-43.98,-36.36,-0.66,0.27,1.33,1.93,-5.92,0.07,0.2,0,1.06,1,1.03,2.31,-3.59,0.17,0.26,0,1.03,1.11,-9.31,2.4,0.6,-14.11,-0.3,0,0,1.2,0.6,-7.91,-0.13,-7.78,-0.27,2.94,3.34,89.65,1.6,1.4,95.21,Majority Black,Majority Black,No
Forest Park Golf Course,570,1,531,8,16,496,1,2,0,0,7,468,2,436,14,12,386,1,3,0,8,12,415,7,14,386,1,2,0,0,5,116,1,2,110,0,0,0,0,2,224,201,23,1,354,10,10,317,1,2,0,5,8,82,4,2,69,1,1,0,3,3,196,169,27,2,-17.89,100,-17.89,75,-25,-22.18,0,50,NA,Inf,71.43,-14.7,42.86,-28.57,-17.88,0,0,NA,Inf,60,-29.31,300,0,-37.27,Inf,Inf,NA,Inf,50,-12.5,-15.92,17.39,100,-19.21,0.19,1.13,-0.75,-20.72,0,0.19,0,1.51,0.94,0.72,-0.96,-16.63,0,0,0,1.2,0.72,-29.31,2.59,0,-35.34,0.86,0.86,0,2.59,0.86,-5.27,-6.03,0.75,0.19,3.21,2.75,88.53,1.51,3.01,93.41,Majority Black,Majority Black,No
Four By Four,8863,4,1251,12,27,1190,1,2,0,1,18,6721,8,949,24,30,867,1,4,0,3,18,868,9,26,819,0,2,0,0,10,383,3,0,371,0,0,0,1,7,463,391,73,8,696,11,24,640,1,4,0,3,11,253,12,6,227,0,0,0,0,7,453,338,115,13,-24.17,100,-24.14,100,11.11,-27.14,0,100,NA,200,0,-19.82,22.22,-7.69,-21.86,Inf,100,NA,Inf,10,-33.94,300,Inf,-38.81,NA,NA,NA,-100,0,-2.16,-13.55,57.53,62.5,-171.22,0.32,0.96,0.24,-25.82,0,0.16,0,0.16,0,0.23,-0.23,-20.62,0.12,0.23,0,0.35,0.12,-33.94,2.35,1.57,-37.6,0,0,0,-0.26,0,-0.8,-4.24,3.36,0.4,2.53,3.16,91.36,0.96,2.16,95.12,Majority Black,Majority Black,No
Frankford,35241,124,17596,346,2249,14263,51,337,3,16,333,33543,110,16860,502,1381,14164,45,214,4,78,472,13195,216,1997,10493,38,250,2,7,193,4401,130,252,3769,13,87,1,9,139,7708,6935,773,42,13042,340,1282,10862,31,145,4,50,328,3818,162,99,3302,13,69,0,28,144,7547,6896,651,34,-4.82,-11.29,-4.18,45.09,-38.59,-0.69,-11.76,-36.5,33.33,387.5,41.74,-1.16,57.41,-35.8,3.52,-18.42,-42,100,614.29,69.95,-13.25,24.62,-60.71,-12.39,0,-20.69,-100,211.11,3.6,-2.09,-0.56,-15.78,-19.05,-9.65,-0.08,0.89,-4.93,-0.56,-0.03,-0.7,0.01,0.35,0.79,0.94,-5.42,2.8,-0.05,-0.8,0.02,0.33,1.02,-13.25,0.73,-3.48,-10.61,0,-0.41,-0.02,0.43,0.11,-0.91,-0.22,-0.69,-0.05,2.98,8.19,84.01,1.97,12.78,81.06,Majority Black,Majority Black,No
Franklin Square,18855,25,2469,98,135,2170,18,9,0,0,39,15558,32,2048,116,109,1731,7,13,0,11,61,1826,68,113,1603,14,8,0,0,20,643,29,22,566,4,1,0,0,19,1506,929,576,49,1583,72,98,1350,5,11,0,7,41,466,44,11,381,2,2,0,5,20,1150,860,289,32,-17.49,28,-17.05,18.37,-19.26,-20.23,-61.11,44.44,NA,Inf,56.41,-13.31,5.88,-13.27,-15.78,-64.29,37.5,NA,Inf,105,-27.53,51.72,-50,-32.69,-50,100,NA,Inf,5.26,-23.64,-7.43,-49.83,-34.69,-133.54,0.28,0.73,-1.05,-17.78,-0.45,0.16,0,0.45,0.89,0.22,-0.82,-13.86,-0.49,0.16,0,0.38,1.15,-27.53,2.33,-1.71,-28.77,-0.31,0.16,0,0.78,0.16,-14.42,-2.79,-11.62,-0.69,5.66,5.32,84.52,3.97,5.47,87.89,Majority Black,Majority Black,No
Franklintown,1602,11,1955,37,157,1719,5,9,0,7,21,1439,17,1757,67,199,1393,4,23,0,9,61,1435,25,141,1242,3,6,0,4,14,520,12,16,477,2,3,0,3,6,969,895,75,4,1375,50,177,1074,4,17,0,8,45,382,18,22,319,0,6,0,0,16,939,869,69,4,-10.17,54.55,-10.13,81.08,26.75,-18.96,-20,155.56,NA,28.57,190.48,-4.18,100,25.53,-13.53,33.33,183.33,NA,100,221.43,-26.54,50,37.5,-33.12,-100,100,NA,-100,166.67,-3.1,-2.91,-8,0,-8.34,0.31,1.53,2.15,-16.68,-0.05,0.72,0,0.1,2.05,1.74,2.51,-11.71,0.07,0.77,0,0.28,2.16,-26.54,1.15,1.15,-30.38,-0.38,0.58,0,-0.58,1.92,-1.53,-1.33,-0.31,0,3.81,11.33,79.28,1.89,8.03,87.93,Majority Black,Majority Black,No
Franklintown Road,7558,3,1912,24,12,1848,4,4,0,1,20,5570,5,1416,24,16,1329,4,1,0,6,37,1405,13,11,1361,3,4,0,1,12,507,11,1,486,1,0,0,0,8,888,700,189,10,1078,19,13,1014,3,1,0,3,25,339,5,2,315,1,0,0,3,12,785,551,234,14,-26.3,66.67,-25.94,0,33.33,-28.08,0,-75,NA,500,85,-23.27,46.15,18.18,-25.5,0,-75,NA,200,108.33,-33.14,-54.55,100,-35.19,0,NA,NA,Inf,50,-11.6,-21.29,23.81,40,-103.97,0.1,0,0.21,-27.14,0,-0.16,0,0.26,0.89,0.43,0.14,-24.7,0,-0.21,0,0.14,0.93,-33.14,-1.18,0.2,-33.73,0,0,0,0.59,0.79,-5.39,-7.79,2.35,0.21,1.69,1.13,93.86,1.26,0.63,96.65,Majority Black,Majority Black,No
